                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6068,                0.83957,                 1.1075,                0.89499,                0.78291,                0.86554,                0.39013,                 1.7143,                0.96563,                 1.1468,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.5666,                0.81379,                 1.0947,                0.85953,                0.79961,                0.84293,                0.38735,                 1.7003,                0.94827,                 1.1519,               0.001307,               0.001307,               0.001307
                     37,                 1.5678,                 0.8125,                 1.0889,                0.90941,                0.83822,                0.90721,                0.43422,                  1.569,                0.82069,                 1.1017,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.5867,                0.83366,                 1.0861,                0.89061,                0.83975,                0.90589,                0.45455,                 1.5629,                0.79712,                 1.0842,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.5751,                0.84173,                 1.0899,                0.90396,                0.81434,                0.89237,                0.45234,                 1.5168,                0.80729,                 1.0703,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.5828,                 0.8024,                 1.0851,                0.89744,                0.82613,                0.89029,                 0.4269,                 1.5777,                0.88892,                  1.099,              0.0012278,              0.0012278,              0.0012278
                     41,                  1.574,                0.81155,                 1.1039,                0.90861,                0.82036,                0.89266,                0.43818,                 1.5857,                0.86386,                 1.0925,               0.001208,               0.001208,               0.001208
                     42,                 1.5754,                0.81122,                 1.0892,                0.91757,                0.68889,                0.78942,                0.38413,                 1.6785,                 1.0669,                 1.1891,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.5431,                0.80051,                 1.0821,                0.89136,                0.81532,                0.88027,                 0.4294,                 1.5719,                0.96567,                 1.1048,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.5255,                0.77178,                 1.0745,                0.88361,                 0.8389,                0.90067,                0.47992,                 1.4704,                 0.7562,                 1.0607,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.5364,                0.78685,                 1.0772,                0.89957,                0.82712,                0.90443,                0.46551,                 1.5617,                0.83669,                 1.0846,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.5434,                 0.7809,                 1.0815,                0.86063,                0.84676,                0.89285,                0.46939,                 1.4677,                0.71871,                 1.0535,               0.001109,               0.001109,               0.001109
                     47,                 1.5327,                0.77041,                 1.0695,                0.91489,                0.83301,                 0.9012,                 0.4749,                  1.474,                0.80626,                  1.074,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.5355,                0.77095,                 1.0821,                0.92087,                0.84185,                0.90651,                0.46134,                 1.5055,                0.79109,                 1.0726,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.4971,                0.75848,                 1.0738,                0.90544,                0.84381,                  0.913,                0.47953,                 1.4788,                 0.7523,                 1.0643,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.5198,                0.76913,                 1.0591,                0.88891,                 0.8332,                 0.8973,                0.44872,                 1.5082,                0.83499,                 1.0691,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.5184,                 0.7661,                 1.0673,                0.91145,                0.83202,                0.90503,                0.47253,                 1.4678,                0.79624,                 1.0592,                0.00101,                0.00101,                0.00101
                     52,                 1.5016,                0.74945,                 1.0682,                0.91446,                0.82024,                0.89411,                0.45775,                  1.545,                0.77731,                 1.0705,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.4966,                 0.7371,                 1.0477,                0.90316,                0.85953,                0.90978,                0.47461,                 1.4784,                0.78976,                 1.0653,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.4862,                 0.7477,                 1.0725,                0.90976,                0.84173,                0.90256,                0.46527,                 1.4719,                0.78663,                 1.0598,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.5146,                0.75487,                 1.0689,                0.91456,                 0.8517,                 0.9163,                0.46897,                 1.5455,                0.78512,                 1.0836,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.5136,                0.75327,                 1.0672,                0.89578,                0.84971,                0.91505,                0.49112,                  1.479,                0.77887,                 1.0753,               0.000911,               0.000911,               0.000911
                     57,                  1.476,                 0.7455,                 1.0497,                0.92006,                0.85927,                0.91267,                0.48087,                 1.4766,                0.77392,                 1.0701,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.4847,                0.73672,                 1.0489,                0.90892,                0.86266,                  0.909,                0.43667,                 1.6155,                0.77425,                 1.1155,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.4527,                0.70905,                 1.0503,                0.90341,                0.86739,                0.91265,                0.47491,                 1.5027,                0.82375,                 1.0715,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.4654,                 0.7186,                 1.0459,                 0.8991,                0.82024,                0.88913,                0.46001,                 1.5838,                 0.8919,                 1.1093,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.4738,                0.71658,                 1.0375,                0.92454,                 0.8556,                0.91796,                0.47725,                 1.4804,                0.76566,                  1.063,               0.000812,               0.000812,               0.000812
                     62,                 1.4844,                0.71424,                 1.0531,                0.90964,                0.86444,                0.91585,                0.47804,                 1.4958,                0.72306,                 1.0592,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.4643,                0.71138,                 1.0412,                 0.9227,                0.86773,                0.91491,                0.47311,                 1.5024,                0.76746,                 1.0633,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.4486,                0.70199,                 1.0459,                0.91446,                0.87163,                 0.9204,                0.48844,                 1.4646,                0.72766,                 1.0528,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.4439,                0.71083,                 1.0432,                0.90731,                0.84872,                0.90515,                0.44352,                 1.5094,                0.77479,                 1.0595,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.4508,                0.70927,                  1.042,                0.92686,                0.87136,                0.92744,                0.49073,                 1.4776,                0.73406,                 1.0552,               0.000713,               0.000713,               0.000713
                     67,                 1.4382,                0.70425,                 1.0405,                0.90932,                0.86683,                0.92058,                0.49091,                 1.4329,                0.67938,                  1.041,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.4607,                0.70403,                 1.0313,                0.89144,                0.85501,                0.90889,                0.44943,                 1.6198,                0.76186,                 1.1013,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.4542,                0.70505,                 1.0415,                0.89209,                0.81204,                0.87805,                0.42211,                 1.6503,                0.85861,                 1.1259,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.4595,                0.69796,                 1.0409,                0.91822,                0.87129,                0.91908,                0.49634,                 1.4286,                0.68455,                 1.0377,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.4374,                0.68953,                 1.0381,                0.92129,                0.87819,                0.91908,                0.49256,                 1.4744,                0.73139,                  1.057,               0.000614,               0.000614,               0.000614
                     72,                 1.4235,                0.68884,                 1.0281,                0.92152,                0.86248,                0.91337,                0.49169,                 1.4647,                0.75874,                 1.0492,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.3874,                0.67869,                 1.0192,                0.88859,                0.85069,                0.89398,                0.46203,                 1.5379,                0.79291,                 1.0803,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.4025,                0.67663,                 1.0291,                0.91558,                0.86296,                0.91355,                0.47284,                 1.5057,                0.74103,                 1.0631,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.3878,                0.66271,                 1.0352,                0.91557,                0.87917,                0.92051,                0.49715,                 1.4424,                0.72477,                 1.0435,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.3848,                0.66226,                 1.0207,                0.90869,                0.86051,                0.90241,                0.46602,                 1.5458,                0.80018,                 1.0679,               0.000515,               0.000515,               0.000515
                     77,                 1.3993,                0.67168,                 1.0208,                0.93271,                0.88114,                0.92588,                0.48228,                 1.5357,                0.72459,                 1.0706,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.3766,                0.65525,                 1.0135,                0.92075,                0.87875,                0.92844,                0.50574,                 1.4509,                0.71962,                 1.0528,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.4195,                0.68641,                 1.0276,                0.90782,                0.88031,                 0.9211,                0.48295,                 1.5256,                0.70797,                 1.0641,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.3884,                0.65436,                 1.0091,                0.90743,                0.86837,                0.91595,                0.48738,                 1.5022,                0.73969,                 1.0604,              0.0004358,              0.0004358,              0.0004358
                     81,                  1.345,                0.63937,                 1.0153,                0.91279,                0.87389,                0.91609,                0.48667,                 1.4964,                 0.7299,                 1.0676,               0.000416,               0.000416,               0.000416
                     82,                 1.3858,                0.66304,                 1.0258,                0.91283,                0.88469,                0.92579,                0.49617,                 1.4836,                0.69723,                 1.0511,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.3672,                0.65886,                 1.0137,                0.91426,                 0.8694,                0.91528,                0.47649,                 1.5633,                0.75459,                 1.0781,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.3711,                   0.65,                 1.0103,                0.90263,                0.87421,                0.91624,                0.48842,                 1.4942,                0.71132,                 1.0592,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.3351,                0.63955,                 1.0123,                0.90856,                0.88114,                0.91914,                0.48305,                 1.5254,                0.71839,                 1.0681,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.3711,                0.65482,                  1.009,                0.92574,                 0.8831,                0.92759,                0.50148,                 1.4714,                0.70545,                 1.0554,               0.000317,               0.000317,               0.000317
                     87,                 1.3638,                0.64319,                 1.0178,                0.89834,                0.88507,                0.92069,                0.48389,                 1.5231,                0.70034,                 1.0592,              0.0002972,              0.0002972,              0.0002972
                     88,                   1.36,                0.64406,                 1.0154,                0.92516,                0.88646,                0.92719,                0.49657,                 1.4905,                0.69963,                 1.0502,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.3348,                0.63219,                  1.003,                0.92618,                0.86935,                0.91947,                0.48837,                 1.5126,                0.73598,                 1.0636,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.3429,                0.63252,                 1.0009,                0.92065,                  0.889,                0.92516,                0.48803,                 1.5074,                0.68777,                 1.0589,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.3176,                0.61582,                 1.0254,                0.93283,                0.85951,                0.91865,                0.49351,                 1.4903,                0.76477,                 1.0591,               0.000218,               0.000218,               0.000218
                     92,                 1.2915,                0.60433,                 1.0173,                0.92616,                0.87525,                0.92009,                0.49131,                 1.4949,                0.71674,                 1.0533,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.3108,                0.60737,                 1.0253,                0.91978,                0.87033,                0.92247,                0.49888,                 1.4532,                0.69871,                 1.0374,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.2881,                0.59699,                 1.0101,                0.91359,                0.88282,                0.92141,                0.49374,                 1.4818,                0.71364,                 1.0453,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.2729,                0.57734,                 1.0144,                0.92694,                0.87236,                0.92255,                0.49388,                 1.5254,                0.73149,                 1.0617,              0.0001388,              0.0001388,              0.0001388
                     96,                  1.279,                0.59428,                 1.0077,                  0.922,                0.87721,                0.92253,                0.47831,                 1.5523,                0.71494,                 1.0669,               0.000119,               0.000119,               0.000119
                     97,                 1.2662,                0.58547,                 1.0094,                0.92292,                0.88217,                0.92318,                0.49815,                 1.5064,                0.72392,                 1.0564,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.2789,                0.58913,                 1.0106,                0.92408,                0.87426,                0.91967,                0.48859,                  1.537,                0.73273,                  1.063,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.2531,                0.58072,                 1.0114,                0.91294,                0.87562,                0.91654,                0.48771,                  1.541,                0.73098,                  1.062,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.2466,                0.57606,                 1.0091,                0.92116,                0.87917,                0.92216,                0.49375,                 1.5067,                0.72414,                 1.0514,               3.98e-05,               3.98e-05,               3.98e-05
